VISDATA
61
0 0
1 12  4 5 6 3 7 10 12 15 21 18 19 22 
2 0
3 12  7 6 10 5 12 1 15 4 18 19 21 22 
4 12  7 10 12 1 6 15 3 5 18 19 21 22 
5 13  10 12 1 3 7 15 4 18 6 19 21 22 23 
6 16  10 3 12 15 4 1 18 7 19 5 21 22 23 24 27 28 
7 16  3 12 4 10 15 5 1 18 19 6 21 22 23 24 27 28 
8 0
9 0
10 17  6 5 4 15 7 3 18 19 12 21 22 1 23 24 25 27 28 
11 0
12 17  7 6 5 4 18 19 15 3 10 21 22 23 24 1 25 27 28 
13 0
14 0
15 18  10 7 19 6 12 21 22 18 5 4 23 3 24 25 27 28 30 1 
16 0
17 0
18 17  12 22 10 15 23 21 24 7 25 6 27 5 4 28 3 19 1 
19 18  12 15 23 24 10 22 25 27 7 21 6 28 5 4 18 3 30 1 
20 0
21 20  15 25 24 27 18 28 12 23 10 19 30 7 6 22 5 4 32 33 3 1 
22 20  27 15 18 25 28 19 24 12 30 10 7 23 6 21 5 32 33 4 3 1 
23 17  27 19 28 18 15 30 25 21 12 22 32 24 10 33 7 6 5 
24 19  28 27 21 19 30 18 22 15 32 33 25 23 12 10 36 37 38 7 6 
25 16  21 30 28 22 19 18 23 32 27 33 15 24 12 36 37 10 
26 0
27 19  23 24 22 30 21 32 33 25 19 18 28 15 36 37 38 12 10 7 6 
28 22  24 25 23 32 22 33 21 30 36 19 37 27 18 38 15 12 43 10 53 7 55 6 
29 0
30 22  25 27 24 33 23 36 28 32 37 22 38 21 19 41 42 15 43 47 49 53 51 55 
31 0
32 21  28 36 27 37 38 25 30 24 41 42 23 33 43 22 21 47 49 53 50 51 55 
33 21  37 30 28 38 36 27 25 41 24 42 43 32 23 47 22 21 49 50 53 51 55 
34 0
35 0
36 19  41 32 42 33 30 43 38 28 47 27 49 37 50 25 51 24 53 55 56 
37 18  41 42 33 32 43 47 30 49 28 38 50 36 27 51 25 53 24 55 
38 21  41 42 43 33 32 47 36 49 30 50 51 37 53 28 27 55 24 56 58 59 60 
39 0
40 0
41 18  47 49 50 51 38 37 53 43 36 33 42 32 55 56 30 58 59 60 
42 18  47 49 38 50 37 51 36 53 41 33 55 43 32 56 30 58 59 60 
43 19  50 51 49 53 47 41 38 55 37 36 42 56 33 32 58 59 60 30 28 
44 0
45 0
46 0
47 18  53 51 41 55 42 43 50 38 49 37 36 56 58 59 33 32 60 30 
48 0
49 18  43 53 55 41 42 51 56 47 38 37 58 50 59 36 60 33 32 30 
50 17  43 55 41 53 47 42 56 58 38 59 49 51 60 37 36 33 32 
51 18  43 47 55 41 49 56 42 53 58 59 60 50 38 37 36 33 32 30 
52 0
53 19  47 49 43 50 41 58 56 59 51 55 60 42 38 37 36 33 32 30 28 
54 0
55 19  50 49 51 47 43 59 58 60 53 42 56 41 38 37 36 33 32 30 28 
56 14  60 51 59 50 53 49 58 47 55 43 42 41 36 38 
57 0
58 13  53 55 56 51 50 49 60 59 47 43 42 41 38 
59 13  56 55 53 51 50 49 58 60 47 43 42 41 38 
60 13  56 55 53 51 58 50 49 59 47 43 42 41 38 
